,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[912, 121, 330, 222]",0.008969022178830013,0.027291500307819017,0.06623685089975635,0.010011933125658708,0.029890978541762696,0.07029453906261646,0.008836818913426754,0.025438381413426754,0.06254775641342675,False,False,False,4.775641342675413e-05,0.005907131413426754,0.006883693913426754,0.8369618189134268,0.9365711939134268,0.9365711939134268,0.02097177785710433,0.04463207977738604,0.05715546014221131,2.0946781799168828,1.4931622166543514,0.8130853534909559,0.024461818913426754,0.07573135016342675,0.18364150641342675,0.013719631413426754,0.040575100163426754,0.09868056891342675,0.011766506413426754,0.034715725163426754,0.08500869391342675,0.009813381413426754,0.029344631413426754,0.07133681891342675,0.008836818913426754,0.025438381413426754,0.06254775641342675,0.006883693913426754,0.022508693913426754,0.055711818913426754
1,OO DO patch Wet,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[893, 770, 167, 269]",0.01912225314931196,0.038259810906076115,0.0851504677591726,0.019154256181093288,0.03842773002796804,0.08566422097503794,0.018602443913426754,0.038133693913426754,0.08403213141342675,False,False,False,0.005907131413426754,0.022996975163426754,0.050829006413426754,0.23344619391342675,0.37797744391342675,0.8516102564134268,0.004028720026163544,0.006807231074333188,0.016110887465080832,0.21033027793270292,0.17714372067719913,0.18807020342571554,0.028368068913426754,0.05180556891342675,0.11918838141342675,0.025438381413426754,0.04692275641342676,0.10551650641342675,0.023485256413426754,0.044969631413426754,0.09965713141342675,0.021532131413426754,0.041551662663426754,0.09184463141342675,0.018602443913426754,0.038133693913426754,0.08403213141342675,0.016649318913426754,0.034715725163426754,0.07719619391342675
2,Type 1 Chemistry Hand Applied Dry,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[1022, 497, 244, 191]",0.15442708457533352,0.2627382901644731,0.553698667407868,0.15451140810514002,0.26278281955857946,0.5537793969379532,0.14946181891342675,0.25395400641342675,0.5322743189134268,False,False,False,0.08403213141342675,0.15971572516342675,0.35258681891342675,0.28325088141342675,0.48735244391342675,0.9365711939134268,0.028762128530384883,0.04297345028081226,0.09160138705572707,0.1861488991855746,0.1635321911569361,0.16541133086970064,0.24028213141342675,0.37455947516342675,0.8095887720384279,0.21098525641342675,0.34282119391342675,0.7314930689134268,0.19243056891342675,0.32475478766342675,0.6826649439134268,0.17192275641342675,0.29301650641342675,0.6143055689134268,0.14946181891342675,0.25395400641342675,0.5322743189134268,0.13286025641342675,0.22807510016342675,0.48051650641342675
3,Type 1 Chemistry Thin Back Wet,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[569, 401, 137, 213]",0.11288790152987117,0.23382887139613598,0.5539249123255598,0.11289492285950506,0.233994211432388,0.5543317270408185,0.11332900641342675,0.23637588141342675,0.5615711939134268,False,False,False,0.08207900641342675,0.17045791266342675,0.39848525641342675,0.19633681891342675,0.38481338141342675,0.9365711939134268,0.009237366718616457,0.019785284080007827,0.04796519267240816,0.0818226939231991,0.084554587734854,0.08652795849961556,0.13383681891342675,0.27543838141342675,0.6494618189134268,0.12797744391342675,0.26274306891342675,0.6201649439134268,0.12504775641342675,0.25688369391342675,0.6074696314134268,0.11918838141342675,0.24760635016342675,0.5869618189134268,0.11332900641342675,0.23637588141342675,0.5615711939134268,0.10649306891342675,0.22123916266342675,0.5244618189134268
4,Type 1 Chemistry Thick Back Wet,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[473, 775, 293, 155]",0.1089685237788232,0.1936253359453059,0.4161765831385109,0.10910816631384153,0.19474811740726292,0.41907383449208624,0.10746963141342675,0.18998916266342675,0.41020400641342675,False,False,False,0.07426650641342675,0.13090713141342675,0.27055556891342675,0.6992665064134268,0.9365711939134268,0.9365711939134268,0.014454751796788201,0.02953751610901888,0.057235720385892364,0.13248093415125484,0.15167035503223464,0.13657669764866506,0.14262588141342675,0.25883681891342675,0.5752430689134268,0.13188369391342675,0.23442275641342675,0.49907119391342675,0.12700088141342675,0.22514541266342675,0.4795399439134268,0.11821181891342675,0.21000869391342675,0.44633681891342675,0.10746963141342675,0.18998916266342675,0.41020400641342675,0.09868056891342675,0.17582900641342675,0.38286025641342675
5,Upper Glass,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[614, 137, 120, 63]",0.014059553527150676,0.04840645021168289,0.11829175847651735,0.014190344872420784,0.049034960344484756,0.11985401984762861,0.013719631413426754,0.047899318913426754,0.11625869391342675,False,False,False,0.004930568913426754,0.035204006413426754,0.08989150641342675,0.08793838141342675,0.34819228766342675,0.8535633814134268,0.00344065690393337,0.010457519726363544,0.02587669469114477,0.2424646430278347,0.21326660922934265,0.21590176720014914,0.022508693913426754,0.07670791266342675,0.1908778345384266,0.018602443913426754,0.057664943913426754,0.14067275641342675,0.017625881413426754,0.053758693913426754,0.13188369391342675,0.015672756413426754,0.050340725163426754,0.12309463141342675,0.013719631413426754,0.047899318913426754,0.11625869391342675,0.012743068913426754,0.045457912663426754,0.11137588141342675
6,Left Glass,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[415, 466, 70, 76]",0.013978711918510536,0.05285078012662737,0.13767228748647317,0.01401131521276961,0.05306050679524574,0.1382486052151268,0.013719631413426754,0.052293850163426754,0.13676650641342675,False,False,False,0.004930568913426754,0.040086818913426754,0.10746963141342675,0.046922756413426754,0.22416885016342675,0.47758681891342675,0.002562086893312023,0.006119449683584529,0.015385088577803581,0.18285841510274442,0.1153296501143264,0.11128566942041151,0.020555568913426754,0.06889541266342675,0.18247939703842714,0.017625881413426754,0.06059463141342675,0.15727431891342675,0.016649318913426754,0.058153225163426754,0.15141494391342675,0.015672756413426754,0.055223537663426754,0.14360244391342675,0.013719631413426754,0.052293850163426754,0.13676650641342675,0.012743068913426754,0.049852443913426754,0.12993056891342675
7,Lower-Left Glass,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[636, 1087, 110, 55]",0.013047677302785983,0.04458249238313515,0.1054210443179371,0.013098182549790898,0.044957041020869594,0.10636861772541827,0.012743068913426754,0.043993068913426754,0.10356338141342675,False,False,False,0.005907131413426754,0.033250881413426754,0.08012588141342675,0.027391506413426754,0.09477431891342675,0.21196181891342675,0.0026338326194301825,0.0054195491438128515,0.013035662120690397,0.2010838228447373,0.12054950727956122,0.12255176761195556,0.020555568913426754,0.06791885016342675,0.16118056891342675,0.017625881413426754,0.054246975163426754,0.12949111578842692,0.016649318913426754,0.049852443913426754,0.11821181891342675,0.014696193913426754,0.046434475163426754,0.11039931891342675,0.012743068913426754,0.043993068913426754,0.10356338141342675,0.011766506413426754,0.041551662663426754,0.09868056891342675
8,Lower-Right Glass,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[902, 1110, 67, 61]",0.013525850025626653,0.04627727886331609,0.10695372972872429,0.013539467937773449,0.046402934608009636,0.10725553794634296,0.013719631413426754,0.045946193913426754,0.10649306891342675,False,False,False,0.004930568913426754,0.032274318913426754,0.08500869391342675,0.026414943913426754,0.08452041266342675,0.20414931891342675,0.002432556297562957,0.00397014474030662,0.009002846718825681,0.1796640982306568,0.08555805303790703,0.0839382925227559,0.019579006413426754,0.056756740788426685,0.13299697516342662,0.017625881413426754,0.052782131413426754,0.12114150641342675,0.016649318913426754,0.050829006413426754,0.11723525641342675,0.014696193913426754,0.048387600163426754,0.11137588141342675,0.013719631413426754,0.045946193913426754,0.10649306891342675,0.011766506413426754,0.043993068913426754,0.10161025641342675
9,Type 1 Chemistry Dry Unsaturated,2019-06-02--10-33-34_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-06-02 10:33:39,"[870, 470, 15, 55]",0.13857876967100247,0.09756847137554792,0.14158168335753366,0.13857876967100172,0.0975684713755484,0.1417191579285774,0.13774306891342675,0.09721572516342675,0.13969619391342675,False,False,False,0.11039931891342675,0.07963760016342675,0.11430556891342675,0.17192275641342675,0.12016494391342675,0.20414931891342675,0.009174197662269514,0.006314938699960132,0.013022169998540483,0.06620204295398113,0.06472314889154568,0.09188715335934541,0.16118056891342675,0.11516494391342674,0.17875869391342675,0.15434463141342675,0.10942275641342675,0.16703994391342675,0.15043838141342675,0.10551650641342675,0.16020400641342675,0.14457900641342675,0.10112197516342675,0.14848525641342675,0.13774306891342675,0.09721572516342675,0.13969619391342675,0.13188369391342675,0.09330947516342675,0.13286025641342675
