,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[912, 121, 330, 222]",0.009616166857687045,0.029107119949665094,0.0705653647310152,0.010725786183261891,0.03181943620753661,0.07472171570659344,0.008836818913426754,0.026903225163426754,0.06645400641342675,False,False,False,-0.002881931086573246,0.005907131413426754,0.012743068913426754,0.8994618189134268,0.9365711939134268,0.9365711939134268,0.02236157219650214,0.04557334821133123,0.05796903718048163,2.0848422497362904,1.4322487650028484,0.7757990650014804,0.026414943913426754,0.08012588141342675,0.19243056891342675,0.014696193913426754,0.043016506413426754,0.10453994391342675,0.012743068913426754,0.037157131413426754,0.08989150641342675,0.010789943913426754,0.031297756413426754,0.07524306891342675,0.008836818913426754,0.026903225163426754,0.06645400641342675,0.007860256413426754,0.024461818913426754,0.059618068913426754
1,OO DO patch Wet,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[893, 770, 167, 269]",0.024071072090566935,0.04363324832164741,0.09364961328028844,0.024102762688055817,0.04382755131939205,0.09421941976658933,0.024461818913426754,0.043504787663426754,0.09282119391342675,False,False,False,0.008836818913426754,0.025438381413426754,0.059618068913426754,0.26762588141342675,0.40043838141342675,0.7383290064134268,0.004887147718094226,0.007568166271504699,0.017435088701051003,0.20276296876606864,0.1726805637931241,0.18504771886987964,0.035204006413426754,0.05864150641342675,0.13188369391342675,0.031297756413426754,0.05327041266342676,0.11625869391342675,0.030321193913426754,0.050829006413426754,0.10942275641342675,0.027391506413426754,0.047411037663426754,0.10063369391342675,0.024461818913426754,0.043504787663426754,0.09282119391342675,0.020555568913426754,0.039598537663426754,0.08500869391342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[1022, 497, 244, 191]",0.1691078340368405,0.28250234905489974,0.5913832138044232,0.16919760557478222,0.28252456776890156,0.5913832138045321,0.16313369391342675,0.27299697516342675,0.5674305689134268,False,False,False,0.09868056891342675,0.17338760016342675,0.36528213141342675,0.30864150641342675,0.5337391626634268,0.9365711939134268,0.031863592971749934,0.04669714112930509,0.0984868280749609,0.1883217724240596,0.16528524049456206,0.16653639429730824,0.26371963141342675,0.40239150641342675,0.8643055689134268,0.23149306891342675,0.36918838141342675,0.7803211939134268,0.21196181891342675,0.35014541266342675,0.7305165064134268,0.18852431891342675,0.31596572516342675,0.6572743189134268,0.16313369391342675,0.27299697516342675,0.5674305689134268,0.14457900641342675,0.24467666266342675,0.5127430689134268
3,Type 1 Chemistry Thin Back Wet,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[569, 401, 137, 213]",0.12933973822549402,0.2766049445671925,0.6661597960860732,0.12934585625796172,0.27670539269653094,0.6661597960861766,0.12993056891342675,0.28178603766342675,0.6807118189134268,False,False,False,0.09379775641342675,0.19682510016342675,0.45317275641342675,0.20707900641342675,0.43705947516342675,0.9365711939134268,0.010924315045450465,0.02662722166227081,0.06884554985188847,0.08445817563466038,0.09622950027386523,0.1033469000326498,0.15336806891342675,0.32817275641342675,0.7949696314134268,0.14653213141342675,0.31352431891342675,0.7578602564134268,0.14262588141342675,0.30620010016342675,0.7412586939134268,0.13676650641342675,0.29496963141342675,0.7148915064134268,0.12993056891342675,0.28178603766342675,0.6807118189134268,0.12211806891342675,0.25932510016342675,0.6211415064134268
4,Type 1 Chemistry Thick Back Wet,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[473, 775, 293, 155]",0.1155735789306369,0.2058129411333678,0.4412369901028321,0.11581465525610046,0.20786353563362203,0.4470783097136552,0.11430556891342675,0.20268447516342675,0.43657119391342675,False,False,False,0.058641506413426754,0.11186416266342675,0.23832900641342675,0.7754383814134268,0.9365711939134268,0.9365711939134268,0.01631531831296135,0.037453927168123506,0.075239706824317,0.14087438482533454,0.18018517319045022,0.16829200878142922,0.15532119391342675,0.33207900641342675,0.8096180689134267,0.14164931891342675,0.25297744391342675,0.5430165064134268,0.13481338141342675,0.24174697516342675,0.5146961939134268,0.12504775641342675,0.22465713141342675,0.47758681891342675,0.11430556891342675,0.20268447516342675,0.43657119391342675,0.10453994391342675,0.18559463141342675,0.40239150641342675
5,Upper Glass,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[614, 137, 120, 63]",0.014618266329971503,0.05012734599703759,0.12270754195182682,0.014781449369775167,0.0508281667763632,0.12435395784366042,0.014696193913426754,0.049364162663426754,0.12114150641342675,False,False,False,0.005907131413426754,0.037645412663426754,0.09477431891342675,0.08696181891342675,0.31547744391342675,0.8096180689134268,0.0036108013042137573,0.011067196813914729,0.027096110194568944,0.24427924582260901,0.2177374773835311,0.2178950365909106,0.024461818913426754,0.08012588141342675,0.1986903345384266,0.019579006413426754,0.059618068913426754,0.14555556891342675,0.017625881413426754,0.055711818913426754,0.13578994391342675,0.016649318913426754,0.052293850163426754,0.12797744391342675,0.014696193913426754,0.049364162663426754,0.12114150641342675,0.012743068913426754,0.046922756413426754,0.11528213141342675
6,Left Glass,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[415, 466, 70, 76]",0.014501102063963371,0.05434822103995833,0.14108294213343806,0.014544019042656686,0.05454251381474777,0.14166583970760804,0.014696193913426754,0.053758693913426754,0.13969619391342675,False,False,False,0.004930568913426754,0.041551662663426754,0.11137588141342675,0.061571193913426754,0.25200088141342675,0.7285633814134268,0.002695252221070288,0.0064620072404873935,0.016844213141226184,0.18531687927286702,0.11847652021385434,0.11890102212355418,0.020555568913426754,0.07026748297592694,0.18461806891342675,0.018602443913426754,0.06205947516342675,0.16118056891342675,0.017625881413426754,0.060106350163426754,0.15434463141342675,0.015672756413426754,0.056688381413426754,0.14653213141342675,0.014696193913426754,0.053758693913426754,0.13969619391342675,0.012743068913426754,0.051317287663426754,0.13383681891342675
7,Lower-Left Glass,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[636, 1087, 110, 55]",0.013404402664047509,0.04535844342735049,0.10661569176548034,0.013424241434088316,0.04567001235351431,0.10749013115517035,0.013719631413426754,0.044969631413426754,0.10551650641342675,False,False,False,0.004930568913426754,0.034227443913426754,0.08305556891342675,0.030321193913426754,0.09184463141342675,0.20903213141342675,0.0025539949126201487,0.005114146694286943,0.012054514898232279,0.19025245673358965,0.11198040969860629,0.1121453176090245,0.020555568913426754,0.06694228766342675,0.15922744391342675,0.017625881413426754,0.054246975163426754,0.12700088141342675,0.016649318913426754,0.050829006413426754,0.11821181891342675,0.014696193913426754,0.047411037663426754,0.11137588141342675,0.013719631413426754,0.044969631413426754,0.10551650641342675,0.011766506413426754,0.042528225163426754,0.10063369391342675
8,Lower-Right Glass,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[902, 1110, 67, 61]",0.014216415967020078,0.04831751942272022,0.1112529995031829,0.014248413603910085,0.04849309376356417,0.11166906521267538,0.013719631413426754,0.047899318913426754,0.11137588141342675,False,False,False,0.006883693913426754,0.036668850163426754,0.08598525641342675,0.039110256413426754,0.10063369391342675,0.23246963141342675,0.0025100674954795323,0.004252707817787413,0.009569180496277672,0.17616469912065955,0.08769718505736444,0.08569231306855687,0.020555568913426754,0.059686428288426685,0.13969619391342675,0.018602443913426754,0.054735256413426754,0.12504775641342675,0.017625881413426754,0.05278213141342675,0.12114150641342675,0.015672756413426754,0.050829006413426754,0.11625869391342675,0.013719631413426754,0.047899318913426754,0.11137588141342675,0.012743068913426754,0.045946193913426754,0.10649306891342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-24--10-50-22_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-24 10:50:27,"[870, 470, 15, 55]",0.15564553103463885,0.1074980405043358,0.1515134307755166,0.15564553103463782,0.1074980405043359,0.15164576777706204,0.15532119391342675,0.10649306891342675,0.14946181891342675,False,False,False,0.12797744391342675,0.09135635016342675,0.12504775641342675,0.18657119391342675,0.13090713141342675,0.20805556891342675,0.009800069392086518,0.006966862259123025,0.012985373224222774,0.06296402683033399,0.06480920234859555,0.08562964476076163,0.17680556891342675,0.12651260016342675,0.19024306891342674,0.17192275641342675,0.12114150641342675,0.17582900641342675,0.16899306891342675,0.11772353766342675,0.16996963141342675,0.16313369391342675,0.11186416266342675,0.15922744391342675,0.15532119391342675,0.10649306891342675,0.14946181891342675,0.14848525641342675,0.10258681891342675,0.14262588141342675
