,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[912, 121, 330, 222]",0.01061166054861718,0.03190241197435602,0.07770663442397606,0.011067223145792757,0.03314038828533276,0.08023544143516095,0.009813381413426754,0.029832912663426754,0.07328994391342675,False,False,False,-0.0009288060865732459,0.005907131413426754,0.010789943913426754,0.8506336939134268,0.9365711939134268,0.9365711939134268,0.012870841136342775,0.02808416830230184,0.04333824996240605,1.1629693344744447,0.8474302733118944,0.5401384872722127,0.024461818913426754,0.07475478766342675,0.18071181891342675,0.016649318913426754,0.047411037663426754,0.11625869391342675,0.014696193913426754,0.04106338141342675,0.09965713141342675,0.011766506413426754,0.034227443913426754,0.08305556891342675,0.009813381413426754,0.029832912663426754,0.07328994391342675,0.008836818913426754,0.026903225163426754,0.06645400641342675
1,OO DO patch Wet,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[893, 770, 167, 269]",0.060575214101516804,0.07852481845282265,0.1431342048306644,0.06060443551571666,0.07878468674075548,0.14391280570616807,0.060594631413426754,0.07817275641342675,0.14262588141342675,False,False,False,0.015672756413426754,0.044969631413426754,0.08696181891342675,0.39164931891342675,0.8320790064134268,0.9365711939134268,0.012354132284945389,0.013978991773293856,0.028680680277512777,0.20384864869736422,0.1774328534083324,0.19929206533622273,0.08793838141342675,0.10600478766342675,0.20903213141342675,0.08012588141342675,0.09770400641342675,0.18168838141342675,0.07621963141342675,0.09330947516342675,0.17192275641342675,0.06840713141342675,0.08696181891342675,0.15727431891342675,0.060594631413426754,0.07817275641342675,0.14262588141342675,0.052782131413426754,0.06938369391342675,0.12602431891342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[1022, 497, 244, 191]",0.2129101068687728,0.36270598460643727,0.7567617388505565,0.21306142610924314,0.3627699304590752,0.7567617388504558,0.20610244391342675,0.35063369391342675,0.7353993189134268,False,False,False,0.12114150641342675,0.23295791266342675,0.5049305689134268,0.38676650641342675,0.7163563501634268,0.9365711939134268,0.03801898016567698,0.05500367941560765,0.10149149220362398,0.17844140471576247,0.1516213853391929,0.1341128746252323,0.32817275641342675,0.5107899439134268,0.9365711939134268,0.28813369391342675,0.46684463141342675,0.9365711939134268,0.26274306891342675,0.44096572516342675,0.9287586939134268,0.23539931891342675,0.39995010016342675,0.8369618189134268,0.20610244391342675,0.35063369391342675,0.7353993189134268,0.18461806891342675,0.31938369391342675,0.6719227564134268
3,Type 1 Chemistry Thin Back Wet,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[569, 401, 137, 213]",0.15212323619409843,0.3302028321403105,0.7977067907594052,0.15212809791350262,0.330360342085694,0.7977067907595111,0.15434463141342675,0.33989150641342675,0.8223133814134268,False,False,False,0.10258681891342675,0.22416885016342675,0.5293446314134268,0.29399306891342675,0.5811024439134268,0.9365711939134268,0.014414687505019994,0.036665537202342634,0.09317838795167889,0.09475361687106568,0.11098649726192546,0.11680781589305772,0.17973525641342675,0.39262588141342675,0.9365711939134268,0.17289931891342675,0.37651260016342675,0.9209461939134268,0.16899306891342675,0.36918838141342675,0.9014149439134268,0.16215713141342675,0.35649306891342675,0.8672352564134268,0.15434463141342675,0.33989150641342675,0.8223133814134268,0.14262588141342675,0.30620010016342675,0.7334461939134268
4,Type 1 Chemistry Thick Back Wet,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[473, 775, 293, 155]",0.15558177857417174,0.28314984200220095,0.6149967855062374,0.1558505352998803,0.285827939860622,0.6149967855063493,0.15336806891342675,0.27983291266342675,0.6025868189134268,False,False,False,0.08207900641342675,0.14946181891342675,0.32719619391342675,0.9365711939134268,0.9365711939134268,0.9365711939134268,0.022860138260987387,0.050256950547988656,0.09021519148765293,0.1466798828570013,0.17582938383313892,0.1466921350058366,0.21489150641342675,0.45952041266342675,0.9365711939134267,0.19536025641342675,0.35795791266342675,0.7783680689134268,0.18364150641342675,0.33549697516342675,0.7236805689134268,0.16801650641342675,0.30815322516342675,0.6602040064134268,0.15336806891342675,0.27983291266342675,0.6025868189134268,0.14067275641342675,0.25395400641342675,0.5537586939134268
5,Upper Glass,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[614, 137, 120, 63]",0.014826324246560402,0.04985543830584112,0.1220610680638798,0.015032177916402106,0.05072024111912112,0.12416290811647791,0.014696193913426754,0.048875881413426754,0.12016494391342675,False,False,False,0.005907131413426754,0.036668850163426754,0.08989150641342675,0.10649306891342675,0.36332900641342675,0.9326649439134268,0.003959751689967481,0.012449582271881426,0.031000823829103363,0.26341836239490385,0.2454558968409169,0.24967862221800827,0.026414943913426754,0.08862685797592668,0.22097549078842632,0.019579006413426754,0.060594631413426754,0.14750869391342675,0.018602443913426754,0.056200100163426754,0.13676650641342675,0.016649318913426754,0.052293850163426754,0.12700088141342675,0.014696193913426754,0.048875881413426754,0.12016494391342675,0.012743068913426754,0.046434475163426754,0.11332900641342675
6,Left Glass,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[415, 466, 70, 76]",0.01752622092105243,0.06547311550551464,0.17042633045170694,0.017572464178934113,0.0657323230546452,0.17107891095995803,0.017625881413426754,0.06498916266342675,0.16899306891342675,False,False,False,0.008836818913426754,0.049364162663426754,0.13481338141342675,0.06743056891342675,0.28813369391342675,0.7627430689134268,0.002959126573964518,0.007730571926590923,0.01954642828465495,0.16839565264340797,0.11760685713426365,0.11425387369475307,0.024461818913426754,0.08256728766342675,0.21684463141342675,0.022508693913426754,0.07475478766342675,0.19536025641342675,0.020555568913426754,0.07182510016342675,0.18754775641342675,0.019579006413426754,0.06840713141342675,0.17778213141342675,0.017625881413426754,0.06498916266342675,0.16899306891342675,0.015672756413426754,0.062059475163426754,0.16118056891342675
7,Lower-Left Glass,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[636, 1087, 110, 55]",0.020694268625475146,0.07065940428336313,0.16639659816183386,0.02073845243615299,0.07113101441963193,0.1676694635415348,0.020555568913426754,0.06987197516342675,0.16411025641342675,False,False,False,0.010789943913426754,0.056200100163426754,0.13481338141342675,0.047899318913426754,0.14360244391342675,0.31254775641342675,0.0033941419735019993,0.007375111596848627,0.0172610431851811,0.16366418776673275,0.10368348683093039,0.10294685043174377,0.030321193913426754,0.10209853766342675,0.24370986578842696,0.026414943913426754,0.08403213141342675,0.19828994391342675,0.025438381413426754,0.07817275641342675,0.18364150641342675,0.022508693913426754,0.07328994391342675,0.17192275641342675,0.020555568913426754,0.06987197516342675,0.16411025641342675,0.018602443913426754,0.06694228766342675,0.15825088141342675
8,Lower-Right Glass,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[902, 1110, 67, 61]",0.022034657691313485,0.07479303235246612,0.1716363815058368,0.02206832085556037,0.07505836550934611,0.17224461344487615,0.021532131413426754,0.07426650641342675,0.17094619391342675,False,False,False,0.009813381413426754,0.060106350163426754,0.13383681891342675,0.052782131413426754,0.13725478766342675,0.32231338141342675,0.003261181321322954,0.006179133725714641,0.013407705661337047,0.1477765953589197,0.08232438428125947,0.07784107376819621,0.030321193913426754,0.09337783453842669,0.21196181891342675,0.027391506413426754,0.08452041266342675,0.19145400641342675,0.026414943913426754,0.08159072516342675,0.18559463141342675,0.024461818913426754,0.07768447516342675,0.17875869391342675,0.021532131413426754,0.07426650641342675,0.17094619391342675,0.019579006413426754,0.07133681891342675,0.16411025641342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-22--13-49-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-22 13:49:29,"[870, 470, 15, 55]",0.20302360868615404,0.14018092402706306,0.19349256579981802,0.20302360868615552,0.14018092402706228,0.19364032270130663,0.20317275641342675,0.13920791266342675,0.19145400641342675,False,False,False,0.16801650641342675,0.12065322516342675,0.16215713141342675,0.23735244391342675,0.16801650641342675,0.25590713141342675,0.012564234278203716,0.008018090420313907,0.014917314485498587,0.06188558246753541,0.05719815642509244,0.07703619926573242,0.23321181891342674,0.16166885016342675,0.23786025641342673,0.22465713141342675,0.15580947516342675,0.22075088141342675,0.21879775641342675,0.15092666266342675,0.21450088141342677,0.21196181891342675,0.14506728766342675,0.20121963141342675,0.20317275641342675,0.13920791266342675,0.19145400641342675,0.19438369391342675,0.13432510016342675,0.18266494391342675
