,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[912, 121, 330, 222]",0.013289676545185819,0.03973159457169111,0.09719098618811733,0.01386572921578359,0.04126848486561001,0.10024718791176472,0.012743068913426754,0.037157131413426754,0.09086806891342675,False,False,False,0.0010243189134267541,0.008348537663426754,0.014696193913426754,0.9277821314134268,0.9365711939134268,0.9365711939134268,0.015371825093280977,0.03187969220008533,0.04959444736778172,1.108620026690192,0.772494854218683,0.49472158173088726,0.030321193913426754,0.09428603766342675,0.22856338141342675,0.020555568913426754,0.059618068913426754,0.14555556891342675,0.017625881413426754,0.05180556891342675,0.12504775641342675,0.014696193913426754,0.043016506413426754,0.10453994391342675,0.012743068913426754,0.037157131413426754,0.09086806891342675,0.010789943913426754,0.033250881413426754,0.08207900641342675
1,OO DO patch Wet,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[893, 770, 167, 269]",0.0391509211338728,0.07273931752948024,0.15836779321097877,0.0392010802258061,0.07304556959863842,0.1592853989838385,0.039110256413426754,0.07182510016342675,0.15727431891342675,False,False,False,0.016649318913426754,0.045457912663426754,0.09672744391342675,0.32036025641342675,0.7026844751634268,0.9365711939134268,0.007435950189519438,0.013524293855076036,0.029821642266336826,0.18968737970195898,0.1851487219469657,0.18722144312400288,0.05668838141342675,0.09965713141342675,0.22856338141342675,0.05180556891342676,0.09037978766342675,0.20024306891342675,0.048875881413426754,0.08696181891342675,0.18852431891342675,0.043993068913426754,0.08110244391342675,0.17289931891342675,0.039110256413426754,0.07182510016342675,0.15727431891342675,0.034227443913426754,0.06352431891342675,0.14067275641342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[1022, 497, 244, 191]",0.2697365820866441,0.4401469455370907,0.8740532976370592,0.26981021812549444,0.44019782735701185,0.8740367028418319,0.26078994391342675,0.42729385016342675,0.8965321314134268,False,False,False,0.15727431891342675,0.27885635016342675,0.6055165064134268,0.47465713141342675,0.8306141626634268,0.9365711939134268,0.04801488769531498,0.0677063362603455,0.067484525885857,0.1779580033287777,0.15380888330789944,0.0772101739737458,0.41118056891342675,0.6060047876634268,0.9365711939134268,0.36332900641342675,0.5649891626634268,0.9365711939134268,0.33403213141342675,0.5391102564134268,0.9365711939134268,0.29887588141342675,0.49028213141342675,0.9365711939134268,0.26078994391342675,0.42729385016342675,0.8965321314134268,0.23344619391342675,0.38578994391342675,0.8164540064134268
3,Type 1 Chemistry Thin Back Wet,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[569, 401, 137, 213]",0.1705650065633582,0.3486825953936617,0.8411493480955143,0.17056890164710575,0.3488270148029618,0.8411493480956219,0.17192275641342675,0.35551650641342675,0.8613758814134268,False,False,False,0.12211806891342675,0.24662978766342675,0.6025868189134268,0.28422744391342675,0.6436024439134268,0.9365711939134268,0.01354412321305497,0.03079260908882841,0.07663209041527694,0.0794055837978997,0.08827472581566512,0.09110402402233735,0.19828994391342675,0.40287978766342675,0.9365711939134268,0.19145400641342675,0.38871963141342675,0.9365711939134268,0.18754775641342675,0.38237197516342675,0.9307118189134268,0.18071181891342675,0.37065322516342675,0.9014149439134268,0.17192275641342675,0.35551650641342675,0.8613758814134268,0.16118056891342675,0.32914931891342675,0.7910633814134268
4,Type 1 Chemistry Thick Back Wet,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[473, 775, 293, 155]",0.174610941889738,0.3099153878784889,0.6740781824152983,0.1748634104856723,0.31336742167073683,0.6740781824154112,0.17289931891342675,0.30620010016342675,0.6631336939134268,False,False,False,0.08696181891342675,0.14995010016342675,0.32817275641342675,0.6103993189134268,0.9365711939134268,0.9365711939134268,0.027492755213352003,0.06168585136082546,0.10564069911053244,0.15722417363925692,0.19684832275143255,0.15671876329240056,0.25297744391342675,0.5449012720384271,0.9365711939134267,0.22661025641342675,0.40678603766342675,0.8936024439134268,0.21000869391342675,0.37602431891342675,0.8203602564134268,0.18852431891342675,0.33745010016342675,0.7305165064134268,0.17289931891342675,0.30620010016342675,0.6631336939134268,0.15629775641342675,0.27641494391342675,0.6045399439134268
5,Upper Glass,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[614, 137, 120, 63]",0.018398901736071508,0.06283747861256239,0.15561774780907714,0.018427024353241346,0.0630164676609539,0.1560561992870982,0.018602443913426754,0.06254775641342675,0.15532119391342675,False,False,False,0.008836818913426754,0.049364162663426754,0.12504775641342675,0.050829006413426754,0.22123916266342675,0.34282119391342675,0.002841069384134615,0.00517591303098243,0.012006104351648627,0.1541794990700637,0.08213588008185861,0.07693449159017945,0.025438381413426754,0.07768447516342675,0.19340713141342675,0.023485256413426754,0.07036025641342675,0.17289931891342675,0.021532131413426754,0.06840713141342675,0.16899306891342675,0.020555568913426754,0.06547744391342675,0.16215713141342675,0.018602443913426754,0.06254775641342675,0.15532119391342675,0.016649318913426754,0.060106350163426754,0.14848525641342675
6,Left Glass,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[415, 466, 70, 76]",0.019161240394716707,0.07102890540749006,0.18683773022429878,0.019169841411076673,0.07110167294303843,0.1871362050741499,0.018602443913426754,0.07084853766342675,0.18559463141342675,False,False,False,0.009813381413426754,0.054246975163426754,0.14848525641342675,0.047899318913426754,0.11430556891342675,0.36039931891342675,0.002799751450083902,0.0047923033428548195,0.012718104554285941,0.1460497971812201,0.0674007114670012,0.06796175304103545,0.025438381413426754,0.08442763922592694,0.22368056891342675,0.023485256413426754,0.07914931891342675,0.20805556891342675,0.022508693913426754,0.07719619391342675,0.20219619391342675,0.020555568913426754,0.07377822516342675,0.19438369391342675,0.018602443913426754,0.07084853766342675,0.18559463141342675,0.017625881413426754,0.06791885016342675,0.17875869391342675
7,Lower-Left Glass,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[636, 1087, 110, 55]",0.02359846466751969,0.08142947278503493,0.193149860604226,0.023606640710947435,0.08146796883595471,0.19324894442995097,0.023485256413426754,0.08110244391342675,0.19340713141342675,False,False,False,0.011766506413426754,0.06645400641342675,0.15727431891342675,0.045946193913426754,0.14457900641342675,0.33891494391342675,0.0031001473402345534,0.004776346943954516,0.01010814027381869,0.13132522234715416,0.058628526182753486,0.0523063155849873,0.031297756413426754,0.09282119391342675,0.21734267828842696,0.028368068913426754,0.08940322516342675,0.20903213141342675,0.027391506413426754,0.08745010016342675,0.20512588141342675,0.025438381413426754,0.08452041266342675,0.19926650641342675,0.023485256413426754,0.08110244391342675,0.19340713141342675,0.021532131413426754,0.07817275641342675,0.18657119391342675
8,Lower-Right Glass,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[902, 1110, 67, 61]",0.026319249400932873,0.0907087970792311,0.20988073055135784,0.026341349284113712,0.09100820933580885,0.21058454799344514,0.026414943913426754,0.09037978766342675,0.20903213141342675,False,False,False,0.014696193913426754,0.07475478766342675,0.17289931891342675,0.054735256413426754,0.16362197516342675,0.39946181891342675,0.003491490789985416,0.00688871244403703,0.014982260151883146,0.1325479098404086,0.07569330826649437,0.071146056510991,0.035204006413426754,0.11095595953842669,0.2560438501634266,0.032274318913426754,0.10112197516342675,0.23149306891342675,0.030321193913426754,0.09868056891342675,0.22563369391342675,0.028368068913426754,0.09428603766342675,0.21684463141342675,0.026414943913426754,0.09037978766342675,0.20903213141342675,0.024461818913426754,0.08696181891342675,0.20219619391342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-14--16-12-03_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-14 16:12:09,"[870, 470, 15, 55]",0.25201863709524497,0.1661196077391843,0.22437032543648502,0.25201863709524813,0.16611960773918397,0.22444998179221698,0.25200088141342675,0.16508681891342675,0.22172744391342675,False,False,False,0.20805556891342675,0.14506728766342675,0.18559463141342675,0.30082900641342675,0.19682510016342675,0.29008681891342675,0.014729876492513365,0.00875836489596803,0.015513774593983279,0.05844756825244771,0.052723245709315046,0.06911907263305127,0.28496963141342674,0.18998916266342675,0.26860244391342675,0.27641494391342675,0.18256728766342672,0.25395400641342675,0.27153213141342675,0.17827041266342675,0.24516494391342675,0.26176650641342675,0.17094619391342675,0.23344619391342675,0.25200088141342675,0.16508681891342675,0.22172744391342675,0.24223525641342675,0.15971572516342675,0.21293838141342675
