,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[912, 121, 330, 222]",0.012942966151142325,0.03887823349259194,0.09465780533035208,0.013486101541234021,0.04035530695047601,0.09764342114784083,0.012743068913426754,0.036180568913426754,0.08891494391342675,False,False,False,0.002977443913426754,0.009325100163426754,0.013719631413426754,0.9365711939134268,0.9365711939134268,0.9365711939134268,0.014875988371254268,0.031031211548098906,0.048707004601779604,1.103060682567949,0.7689499570943761,0.4988252565222276,0.029344631413426754,0.09282119391342675,0.22661025641342675,0.019579006413426754,0.058641506413426754,0.14262588141342675,0.017625881413426754,0.05034072516342675,0.12211806891342675,0.014696193913426754,0.042039943913426754,0.10161025641342675,0.012743068913426754,0.036180568913426754,0.08891494391342675,0.010789943913426754,0.032274318913426754,0.08012588141342675
1,OO DO patch Wet,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[893, 770, 167, 269]",0.034400896937831396,0.06933553126509188,0.154078218865134,0.034448199254486174,0.069622655320313,0.15493902957117583,0.034227443913426754,0.06840713141342675,0.15239150641342675,False,False,False,0.012743068913426754,0.043993068913426754,0.09282119391342675,0.34868056891342675,0.8013172876634268,0.9365711939134268,0.006606130753205988,0.012971005117355997,0.028508636374921383,0.19176998787086597,0.18630437258792104,0.18399906372090122,0.04985244391342675,0.09477431891342675,0.21977431891342675,0.04496963141342676,0.08598525641342675,0.19340713141342675,0.043016506413426754,0.08256728766342675,0.18266494391342675,0.038133693913426754,0.07719619391342675,0.16801650641342675,0.034227443913426754,0.06840713141342675,0.15239150641342675,0.030321193913426754,0.061082912663426754,0.13774306891342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[1022, 497, 244, 191]",0.25449895923450117,0.42553357283501897,0.8547156891217242,0.254597581301132,0.42560566310810005,0.8547156891212493,0.24614150641342675,0.41264541266342675,0.8652821314134268,False,False,False,0.15239150641342675,0.25639541266342675,0.5791493189134268,0.44731338141342675,0.8071766626634268,0.9365711939134268,0.044914059324171855,0.06646324223389109,0.07846582629454012,0.1764119639104056,0.15616155515536462,0.09180342339943759,0.38676650641342675,0.5908534204759274,0.9365711939134268,0.34184463141342675,0.5478993189134268,0.9365711939134268,0.31450088141342675,0.5225086939134268,0.9365711939134268,0.28129775641342675,0.47416885016342675,0.9365711939134268,0.24614150641342675,0.41264541266342675,0.8652821314134268,0.22075088141342675,0.37211806891342675,0.7852040064134268
3,Type 1 Chemistry Thin Back Wet,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[569, 401, 137, 213]",0.16992056733909247,0.363418226294081,0.8731830812502211,0.1699274311697405,0.3635499469441681,0.8731830812503294,0.17094619391342675,0.37065322516342675,0.9043446314134268,False,False,False,0.12016494391342675,0.25834853766342675,0.6299305689134268,0.31254775641342675,0.6011219751634268,0.9365711939134268,0.01363679680337228,0.033644432331195226,0.07537651922788946,0.08025070884376805,0.09254418165645378,0.08632384301349062,0.19828994391342675,0.42534072516342675,0.9365711939134268,0.19047744391342675,0.40776260016342675,0.9365711939134268,0.18657119391342675,0.39946181891342675,0.9365711939134268,0.17973525641342675,0.38676650641342675,0.9365711939134268,0.17094619391342675,0.37065322516342675,0.9043446314134268,0.16118056891342675,0.34379775641342675,0.8311024439134268
4,Type 1 Chemistry Thick Back Wet,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[473, 775, 293, 155]",0.16694083177896574,0.2993866410287047,0.6510848285880936,0.16713479401121276,0.3019627134417642,0.6510848285882063,0.16508681891342675,0.29594619391342675,0.6396961939134268,False,False,False,0.08110244391342675,0.15678603766342675,0.33110244391342675,0.47172744391342675,0.9365711939134268,0.9365711939134268,0.023340932565587624,0.051420943268175555,0.09205119771275945,0.13965334210434796,0.17028904887653448,0.14138126657375913,0.23344619391342675,0.4768934595384276,0.9365711939134267,0.21098525641342675,0.37895400641342675,0.8242665064134268,0.19633681891342675,0.35453994391342675,0.7666493189134268,0.17973525641342675,0.32426650641342675,0.6992665064134268,0.16508681891342675,0.29594619391342675,0.6396961939134268,0.15043838141342675,0.26957900641342675,0.5889149439134268
5,Upper Glass,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[614, 137, 120, 63]",0.018469699726224843,0.06320331437767435,0.15556888887636247,0.018497553867130277,0.0635130806941881,0.1564432073889498,0.018602443913426754,0.06254775641342675,0.15434463141342675,False,False,False,0.008836818913426754,0.048387600163426754,0.12211806891342675,0.052782131413426754,0.23686416266342675,0.33207900641342675,0.0030160550061077863,0.006443995160840221,0.01539027105798182,0.16305155956146428,0.10145933861825557,0.0983760900511229,0.026414943913426754,0.08696181891342675,0.2152918970384266,0.023485256413426754,0.07328994391342675,0.18071181891342675,0.022508693913426754,0.06987197516342675,0.17094619391342675,0.020555568913426754,0.06596572516342675,0.16118056891342675,0.018602443913426754,0.06254775641342675,0.15434463141342675,0.016649318913426754,0.059618068913426754,0.14750869391342675
6,Left Glass,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[415, 466, 70, 76]",0.020093567008082378,0.0758049293194581,0.19873410503532477,0.02011152667893366,0.07598384296770974,0.19943868980158969,0.019579006413426754,0.07524306891342675,0.19731338141342675,False,False,False,0.009813381413426754,0.060594631413426754,0.15922744391342675,0.047899318913426754,0.12993056891342675,0.39262588141342675,0.0029562779714237346,0.005860217971858768,0.01612222678383189,0.14699420976928443,0.07712452730706368,0.08083800991608492,0.027391506413426754,0.09565810797592694,0.25669814703842714,0.025438381413426754,0.08549697516342675,0.22563369391342675,0.023485256413426754,0.08305556891342675,0.21684463141342675,0.021532131413426754,0.07866103766342675,0.20610244391342675,0.019579006413426754,0.07524306891342675,0.19731338141342675,0.017625881413426754,0.07231338141342675,0.18950088141342675
7,Lower-Left Glass,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[636, 1087, 110, 55]",0.022452788780236814,0.07702893109663031,0.1821971596198312,0.022469147167558497,0.07708869133078929,0.18241765569028712,0.022508693913426754,0.07670791266342675,0.18071181891342675,False,False,False,0.012743068913426754,0.058641506413426754,0.14848525641342675,0.044969631413426754,0.16118056891342675,0.28227431891342675,0.003133741489204974,0.00539317231740525,0.01241679637327024,0.13946864408496762,0.06996061580891325,0.06806795277728907,0.030321193913426754,0.09282119391342675,0.22172744391342675,0.027391506413426754,0.08647353766342675,0.20414931891342675,0.026414943913426754,0.08403213141342675,0.19731338141342675,0.024461818913426754,0.08012588141342675,0.18852431891342675,0.022508693913426754,0.07670791266342675,0.18071181891342675,0.020555568913426754,0.07328994391342675,0.17387588141342675
8,Lower-Right Glass,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[902, 1110, 67, 61]",0.024559618987064453,0.08460610560155836,0.19531668781285988,0.02461928274692284,0.08497595864000479,0.196214718732985,0.024461818913426754,0.08403213141342675,0.19438369391342675,False,False,False,0.012743068913426754,0.06596572516342675,0.16118056891342675,0.050829006413426754,0.16606338141342675,0.39653213141342675,0.003499966565528022,0.007647406424035714,0.017322381104659328,0.14216362846580016,0.08999494146848595,0.08828278131485211,0.033250881413426754,0.1087196314134265,0.2540907251634266,0.030321193913426754,0.09623916266342675,0.22075088141342675,0.028368068913426754,0.09282119391342675,0.21293838141342675,0.026414943913426754,0.08842666266342675,0.20219619391342675,0.024461818913426754,0.08403213141342675,0.19438369391342675,0.022508693913426754,0.08012588141342675,0.18657119391342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-20--10-53-45_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-20 10:53:50,"[870, 470, 15, 55]",0.2346228037619116,0.15870483501191157,0.2190395267410967,0.23462280376191422,0.1587048350119107,0.21911854239827738,0.23442275641342675,0.15727431891342675,0.21586806891342675,False,False,False,0.19828994391342675,0.13725478766342675,0.18168838141342675,0.27641494391342675,0.18754775641342675,0.28422744391342675,0.013989990743757631,0.008609438737483105,0.016786754674431068,0.05962758316516459,0.0542481187598158,0.07661037943525056,0.26664931891342675,0.18217666266342675,0.26934463141342674,0.25883681891342675,0.17475478766342672,0.25200088141342675,0.25297744391342675,0.16996963141342675,0.24184463141342677,0.24418838141342675,0.16411025641342675,0.22856338141342675,0.23442275641342675,0.15727431891342675,0.21586806891342675,0.22465713141342675,0.15239150641342675,0.20805556891342675
