,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[912, 121, 330, 222]",0.013555427208259056,0.04049046358695774,0.09915886881245407,0.014129065172477766,0.04204696220658959,0.10227657436498028,0.012743068913426754,0.038133693913426754,0.09379775641342675,False,False,False,4.775641342675413e-05,0.008348537663426754,0.010789943913426754,0.9209461939134268,0.9365711939134268,0.9365711939134268,0.01515784914864976,0.032108860263429934,0.04970828325105139,1.0728133081427056,0.7636428074320631,0.4860182652741605,0.030321193913426754,0.09526260016342675,0.23344619391342675,0.020555568913426754,0.060594631413426754,0.14848525641342675,0.018602443913426754,0.05278213141342675,0.12797744391342675,0.015672756413426754,0.043993068913426754,0.10649306891342675,0.012743068913426754,0.038133693913426754,0.09379775641342675,0.010789943913426754,0.033739162663426754,0.08403213141342675
1,OO DO patch Wet,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[893, 770, 167, 269]",0.06552016974586948,0.08919636859907966,0.16893219053372785,0.06554342052201274,0.08947945151535218,0.16983967814624223,0.06547744391342675,0.08842666266342675,0.16703994391342675,False,False,False,0.023485256413426754,0.056688381413426754,0.11137588141342675,0.29399306891342675,0.7197743189134268,0.9365711939134268,0.012751202249572132,0.014788322261421804,0.030963508610880916,0.19454587734385395,0.16527059577342781,0.18231021719329604,0.09379775641342675,0.11918838141342675,0.24321181891342675,0.08598525641342675,0.10942275641342675,0.21293838141342675,0.08207900641342675,0.10600478766342675,0.20121963141342675,0.07426650641342675,0.09916885016342675,0.18559463141342675,0.06547744391342675,0.08842666266342675,0.16703994391342675,0.056688381413426754,0.07914931891342675,0.14946181891342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[1022, 497, 244, 191]",0.2713825086715415,0.44427728976258757,0.8783051583116175,0.27147410846350206,0.4443275254348325,0.8782695074294046,0.26274306891342675,0.43120010016342675,0.9062977564134268,False,False,False,0.15922744391342675,0.27543838141342675,0.6396961939134268,0.48539931891342675,0.7764149439134268,0.9365711939134268,0.04846847311789759,0.06928521627919416,0.06533772897205269,0.17853810587028363,0.15593275751122898,0.0743937122026345,0.41411025641342675,0.6147938501634268,0.9365711939134268,0.36625869391342675,0.5728016626634268,0.9365711939134268,0.33696181891342675,0.5454579126634268,0.9365711939134268,0.30082900641342675,0.49565322516342675,0.9365711939134268,0.26274306891342675,0.43120010016342675,0.9062977564134268,0.23442275641342675,0.38823135016342675,0.8223133814134268
3,Type 1 Chemistry Thin Back Wet,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[569, 401, 137, 213]",0.18054006707141168,0.37281975347871676,0.8863859679744595,0.18054321873271326,0.37290156780834416,0.8863859679745681,0.18168838141342675,0.38090713141342675,0.9277821314134268,False,False,False,0.12700088141342675,0.27055556891342675,0.6504383814134268,0.27250869391342675,0.5771961939134268,0.9365711939134268,0.014421750736265585,0.03380286646870822,0.06972637156878797,0.07987976971661499,0.09064822834448763,0.07866366807240402,0.21000869391342675,0.43315322516342675,0.9365711939134268,0.20219619391342675,0.41655166266342675,0.9365711939134268,0.19828994391342675,0.40873916266342675,0.9365711939134268,0.19047744391342675,0.39653213141342675,0.9365711939134268,0.18168838141342675,0.38090713141342675,0.9277821314134268,0.17094619391342675,0.35258681891342675,0.8496571314134268
4,Type 1 Chemistry Thick Back Wet,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[473, 775, 293, 155]",0.1804397232550298,0.3174104659619877,0.6891839474777777,0.18070822789869848,0.321098607763576,0.6891839474778909,0.17875869391342675,0.31352431891342675,0.6787586939134268,False,False,False,0.09282119391342675,0.15287978766342675,0.33207900641342675,0.44438369391342675,0.9365711939134268,0.9365711939134268,0.02641387133022056,0.06150198541859912,0.10107060594417752,0.14616861466334374,0.19153613230202124,0.1466525828322777,0.2557704126634273,0.5604579126634274,0.9365711939134267,0.23051650641342675,0.41215713141342675,0.9033680689134268,0.21391494391342675,0.38041885016342675,0.8281727564134268,0.19438369391342675,0.34428603766342675,0.7441883814134268,0.17875869391342675,0.31352431891342675,0.6787586939134268,0.16313369391342675,0.28471572516342675,0.6221180689134268
5,Upper Glass,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[614, 137, 120, 63]",0.019903835936256588,0.0682525774043231,0.16879423374308608,0.019955292995768637,0.06859256203099388,0.16977212293953728,0.019579006413426754,0.06791885016342675,0.16801650641342675,False,False,False,0.010789943913426754,0.051317287663426754,0.12993056891342675,0.043016506413426754,0.19243056891342675,0.41020400641342675,0.00310194950604395,0.006739077556051591,0.016457851747671344,0.15544494920228402,0.09824793471056681,0.09694083729831576,0.028368068913426754,0.09282119391342675,0.23344619391342675,0.025438381413426754,0.07817275641342675,0.19438369391342675,0.023485256413426754,0.07475478766342675,0.18461806891342675,0.021532131413426754,0.07133681891342675,0.17582900641342675,0.019579006413426754,0.06791885016342675,0.16801650641342675,0.017625881413426754,0.06450088141342675,0.16020400641342675
6,Left Glass,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[415, 466, 70, 76]",0.021121324489372543,0.07892390865383678,0.2078218221655554,0.021139487205249278,0.07909048652973999,0.2084302238123933,0.020555568913426754,0.07866103766342675,0.20610244391342675,False,False,False,0.012743068913426754,0.06303603766342675,0.17094619391342675,0.042039943913426754,0.12797744391342675,0.37895400641342675,0.002948259721088099,0.005788456204190494,0.015547434960756341,0.13946694602677015,0.07318776831665956,0.0745929965260244,0.028368068913426754,0.09672744391342675,0.26078994391342675,0.026414943913426754,0.08891494391342675,0.23442275641342675,0.024461818913426754,0.08598525641342675,0.22563369391342675,0.023485256413426754,0.08207900641342675,0.21489150641342675,0.020555568913426754,0.07866103766342675,0.20610244391342675,0.019579006413426754,0.07524306891342675,0.19926650641342675
7,Lower-Left Glass,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[636, 1087, 110, 55]",0.025908149243725736,0.08977454108221228,0.21383473680229706,0.02638185377913039,0.09180694094339349,0.21960806116547435,0.025438381413426754,0.08745010016342675,0.20805556891342675,False,False,False,0.014696193913426754,0.06791885016342675,0.17094619391342675,0.14946181891342675,0.5742665064134268,0.9365711939134268,0.006609504008372721,0.0235425133535406,0.05947138418933111,0.250532205344919,0.2564350049312338,0.27080692700310083,0.052782131413426754,0.19807021735092728,0.5098915064134285,0.033250881413426754,0.11332900641342675,0.27446181891342675,0.031297756413426754,0.09916885016342675,0.23832900641342675,0.028368068913426754,0.09184463141342675,0.21879775641342675,0.025438381413426754,0.08745010016342675,0.20805556891342675,0.023485256413426754,0.08354385016342675,0.19926650641342675
8,Lower-Right Glass,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[902, 1110, 67, 61]",0.02703251484900957,0.09262744487555725,0.21451993041034037,0.027091393249736327,0.09299765376326186,0.21560690355681683,0.027391506413426754,0.09184463141342675,0.21293838141342675,False,False,False,0.015672756413426754,0.07426650641342675,0.17192275641342675,0.054735256413426754,0.18412978766342675,0.43071181891342675,0.0036934702106687614,0.008081190796880723,0.018603541826468124,0.13633371220967785,0.08689671695860726,0.08628453690289982,0.037157131413426754,0.11821181891342675,0.2805946314134265,0.033250881413426754,0.10453994391342675,0.24194228766342657,0.031297756413426754,0.10112197516342675,0.23246963141342675,0.029344631413426754,0.09623916266342675,0.22270400641342675,0.027391506413426754,0.09184463141342675,0.21293838141342675,0.024461818913426754,0.08842666266342675,0.20512588141342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[870, 470, 15, 55]",0.25277739656494197,0.16757024694372977,0.23017197706427833,0.2527773965649451,0.1675702469437295,0.23043246285282323,0.25297744391342675,0.16606338141342675,0.22758681891342675,False,False,False,0.21489150641342675,0.14555556891342675,0.19536025641342675,0.29985244391342675,0.19926650641342675,0.30375869391342675,0.01456063412909094,0.009041303757025549,0.017035599101354368,0.05760259551272788,0.053955304846340896,0.07392881580333137,0.28715713141342675,0.19291885016342675,0.27836806891342675,0.27836806891342675,0.18461806891342675,0.2635243189134267,0.27153213141342675,0.18022353766342675,0.25395400641342675,0.26176650641342675,0.17289931891342675,0.23930556891342675,0.25297744391342675,0.16606338141342675,0.22758681891342675,0.24223525641342675,0.16118056891342675,0.21782119391342675
10,Light Pipe Reflection,2019-05-16--17-32-30_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:32:35,"[195, 500, 40, 300]",0.1297891065342802,0.46405174404363503,0.8756547097858636,0.12981216071027368,0.4640517440436942,0.8755860864916429,0.13578994391342675,0.48637588141342675,0.9365711939134268,False,False,False,0.057664943913426754,0.21440322516342675,0.45805556891342675,0.27153213141342675,0.8188954126634268,0.9365711939134268,0.02830274096422126,0.10066741843813248,0.11447578994954824,0.2180284251441576,0.21693145156815494,0.13074190158529986,0.19145400641342675,0.6992713892259269,0.9365711939134268,0.17094619391342675,0.6099110376634268,0.9365711939134268,0.15922744391342675,0.563084865788427,0.9365711939134268,0.14750869391342675,0.5249501001634268,0.9365711939134268,0.13578994391342675,0.48637588141342675,0.9365711939134268,0.11528213141342675,0.40727431891342675,0.8848133814134268
11,Reflectance Standard Dry,2019-05-16--17-37-29_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 17:37:35,"[912, 121, 330, 222]",0.013577765598940762,0.04057379524272739,0.09934754363404243,0.014154592297614049,0.04214225236535659,0.10245314475639451,0.012743068913426754,0.038133693913426754,0.09379775641342675,False,False,False,0.0010243189134267541,0.009325100163426754,0.015672756413426754,0.9307118189134268,0.9365711939134268,0.9365711939134268,0.015071154213009192,0.03209204296558169,0.049651536713497216,1.0647536782496831,0.7615170325343892,0.48462677091615836,0.030321193913426754,0.09477431891342675,0.23246963141342675,0.020555568913426754,0.060594631413426754,0.14848525641342675,0.018602443913426754,0.05278213141342675,0.12797744391342675,0.015672756413426754,0.043993068913426754,0.10746963141342675,0.012743068913426754,0.038133693913426754,0.09379775641342675,0.010789943913426754,0.033739162663426754,0.08403213141342675
