,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[912, 121, 330, 222]",0.013150903464751796,0.03921809274501515,0.0957470988869179,0.013701342527959402,0.0407309089374075,0.09875480419281814,0.012743068913426754,0.036668850163426754,0.08989150641342675,False,False,False,0.002977443913426754,0.007860256413426754,0.016649318913426754,0.9141102564134268,0.9365711939134268,0.9365711939134268,0.014763402869394935,0.031432807665157575,0.04876373681707071,1.07751505659159,0.7717187876524283,0.4937859703702092,0.029344631413426754,0.09233291266342675,0.22465713141342675,0.019579006413426754,0.059129787663426754,0.14360244391342675,0.017625881413426754,0.05082900641342675,0.12309463141342675,0.014696193913426754,0.042528225163426754,0.10356338141342675,0.012743068913426754,0.036668850163426754,0.08989150641342675,0.010789943913426754,0.032762600163426754,0.08110244391342675
1,OO DO patch Wet,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[893, 770, 167, 269]",0.03909106845813704,0.07085438775671447,0.15303425955713262,0.03913545143459671,0.07114772582289723,0.15391390306999536,0.039110256413426754,0.06987197516342675,0.15141494391342675,False,False,False,0.014696193913426754,0.044969631413426754,0.09770400641342675,0.29399306891342675,0.6543446314134268,0.9365711939134268,0.007394466119097282,0.012889005973062716,0.028532813404026164,0.18894546627256714,0.1811583690692569,0.1853816506170356,0.05571181891342675,0.09623916266342675,0.21782119391342675,0.05082900641342676,0.08793838141342675,0.19243056891342675,0.048875881413426754,0.08452041266342675,0.18168838141342675,0.043993068913426754,0.07914931891342675,0.16703994391342675,0.039110256413426754,0.06987197516342675,0.15141494391342675,0.034227443913426754,0.062059475163426754,0.13676650641342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[1022, 497, 244, 191]",0.2648720162571298,0.4247825292729992,0.8521319600560862,0.2649766905581177,0.4248277071520662,0.8521319600556212,0.25590713141342675,0.41215713141342675,0.8613758814134268,False,False,False,0.15629775641342675,0.26127822516342675,0.5742665064134268,0.46782119391342675,0.7793446314134268,0.9365711939134268,0.04736595214879437,0.0661524601931052,0.07945924437512424,0.17875516540352268,0.15571597398054374,0.09324758147780034,0.40532119391342675,0.5879383814134268,0.9365711939134268,0.35746963141342675,0.5469227564134268,0.9365711939134268,0.32817275641342675,0.5215321314134268,0.9365711939134268,0.29399306891342675,0.47319228766342675,0.9365711939134268,0.25590713141342675,0.41215713141342675,0.8613758814134268,0.22856338141342675,0.37162978766342675,0.7812977564134268
3,Type 1 Chemistry Thin Back Wet,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[569, 401, 137, 213]",0.17228352898882088,0.3531570776884216,0.8518220942745349,0.17228652853832008,0.3532953881130784,0.8518220942746426,0.17387588141342675,0.36039931891342675,0.8750477564134268,False,False,False,0.12407119391342675,0.25688369391342675,0.6172352564134268,0.25981338141342675,0.5947743189134268,0.9365711939134268,0.013751921169627339,0.03190322526458611,0.07765806138158877,0.07982006072267356,0.09030184468293971,0.09116699590624898,0.20121963141342675,0.41118056891342675,0.9365711939134268,0.19340713141342675,0.39506728766342675,0.9365711939134268,0.18950088141342675,0.38774306891342675,0.9365711939134268,0.18168838141342675,0.37553603766342675,0.9141102564134268,0.17387588141342675,0.36039931891342675,0.8750477564134268,0.16313369391342675,0.33403213141342675,0.8037586939134268
4,Type 1 Chemistry Thick Back Wet,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[473, 775, 293, 155]",0.17041275171117187,0.2974346380866799,0.6455366246975839,0.17067592166727433,0.30078181789857916,0.6455366246976965,0.16801650641342675,0.29399306891342675,0.6338368189134268,False,False,False,0.08207900641342675,0.14653213141342675,0.32133681891342675,0.48442275641342675,0.9365711939134268,0.9365711939134268,0.025617570900707213,0.0580749171176972,0.10116194070136032,0.15009481507677228,0.19307987937382415,0.15670983927323143,0.24321181891342675,0.5220204126634268,0.9365711939134267,0.21879775641342675,0.38774306891342675,0.8467274439134268,0.20317275641342675,0.35746963141342675,0.7744618189134268,0.18461806891342675,0.32328994391342675,0.6963368189134268,0.16801650641342675,0.29399306891342675,0.6338368189134268,0.15336806891342675,0.26616103766342675,0.5791493189134268
5,Upper Glass,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[614, 137, 120, 63]",0.01809339437387461,0.06163815299843541,0.15227051060621147,0.018120492235185613,0.06185124517004776,0.15288934660852882,0.017625881413426754,0.061571193913426754,0.15141494391342675,False,False,False,0.007860256413426754,0.047411037663426754,0.11918838141342675,0.051805568913426754,0.19536025641342675,0.36430556891342675,0.00287258867946009,0.005324515367956345,0.012438129904059275,0.15852707764098248,0.08608582338670213,0.08135380378010866,0.025438381413426754,0.07914931891342675,0.1957606470384266,0.022508693913426754,0.06938369391342675,0.17094619391342675,0.021532131413426754,0.06743056891342675,0.16508681891342675,0.019579006413426754,0.06450088141342675,0.15825088141342675,0.017625881413426754,0.061571193913426754,0.15141494391342675,0.016649318913426754,0.058641506413426754,0.14555556891342675
6,Left Glass,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[415, 466, 70, 76]",0.019670438661029684,0.07315080356855033,0.19227279095849475,0.01967537771276831,0.07325240499778479,0.19266920260704457,0.019579006413426754,0.07280166266342675,0.19145400641342675,False,False,False,0.010789943913426754,0.058641506413426754,0.15922744391342675,0.045946193913426754,0.11479385016342675,0.34184463141342675,0.0028253768440816575,0.005022041544638056,0.013260279643611596,0.14359962412554514,0.06855804317673837,0.06882407496467606,0.026414943913426754,0.08793838141342675,0.23423720953842714,0.024461818913426754,0.08159072516342675,0.21489150641342675,0.023485256413426754,0.07914931891342675,0.20805556891342675,0.021532131413426754,0.07621963141342675,0.19926650641342675,0.019579006413426754,0.07280166266342675,0.19145400641342675,0.017625881413426754,0.06987197516342675,0.18461806891342675
7,Lower-Left Glass,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[636, 1087, 110, 55]",0.021724925002216434,0.07444808726537049,0.17637621119119531,0.021730510803921795,0.0744751356747974,0.17646175434731554,0.021532131413426754,0.07426650641342675,0.17582900641342675,False,False,False,0.010789943913426754,0.056688381413426754,0.14457900641342675,0.041063381413426754,0.13383681891342675,0.25688369391342675,0.0029974341527859057,0.004551227111916093,0.00937491676292398,0.13793666333167587,0.061110692457002694,0.053127187801114584,0.028368068913426754,0.08500869391342675,0.19926650641342675,0.026414943913426754,0.08207900641342675,0.19145400641342675,0.025438381413426754,0.08012588141342675,0.18852431891342675,0.023485256413426754,0.07719619391342675,0.18266494391342675,0.021532131413426754,0.07426650641342675,0.17582900641342675,0.019579006413426754,0.07133681891342675,0.16996963141342675
8,Lower-Right Glass,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[902, 1110, 67, 61]",0.024701764682327095,0.08448456447113799,0.19565818257779344,0.02475978158470113,0.08484095550506475,0.1965461335084927,0.024461818913426754,0.08403213141342675,0.19438369391342675,False,False,False,0.014696193913426754,0.06694228766342675,0.15922744391342675,0.049852443913426754,0.16703994391342675,0.40629775641342675,0.0034694917045014276,0.007377716728995542,0.01695896465528023,0.1401261029962073,0.08695937811019956,0.08628490600425592,0.034227443913426754,0.10656142828842669,0.25004775641342675,0.030321193913426754,0.09526260016342675,0.22075088141342675,0.029344631413426754,0.09184463141342675,0.21196181891342675,0.026414943913426754,0.08793838141342675,0.20219619391342675,0.024461818913426754,0.08403213141342675,0.19438369391342675,0.022508693913426754,0.08061416266342675,0.18754775641342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-16--15-43-27_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-16 15:43:33,"[870, 470, 15, 55]",0.24891612762554802,0.16243234448160854,0.21976721664069948,0.24891612762555104,0.16243234448160795,0.21976721664070165,0.24907119391342675,0.16166885016342675,0.21782119391342675,False,False,False,0.20805556891342675,0.13969619391342675,0.18071181891342675,0.28520400641342675,0.19389541266342675,0.27739150641342675,0.014811325995892969,0.008815506781724065,0.015968856251550232,0.0595032798283521,0.054271868142137386,0.07266259497501751,0.28106338141342674,0.18645400641342674,0.26739150641342674,0.2732899439134267,0.17827041266342675,0.25004775641342675,0.26860244391342675,0.17387588141342675,0.24184463141342677,0.25883681891342675,0.16801650641342675,0.22856338141342675,0.24907119391342675,0.16166885016342675,0.21782119391342675,0.23930556891342675,0.15580947516342675,0.20903213141342675
