,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[912, 121, 330, 222]",0.009146831960299608,0.02792131018183431,0.06597292984088045,0.0102117112062962,0.03055676328958246,0.07002036574156802,0.008836818913426754,0.025926662663426754,0.061571193913426754,False,False,False,-0.0019053685865732459,0.006883693913426754,0.009813381413426754,0.8643055689134268,0.9365711939134268,0.9365711939134268,0.021393825380902416,0.04500530549212987,0.05718410176540322,2.0950284383004973,1.4728426916692863,0.816678135850632,0.024461818913426754,0.07817275641342675,0.18266494391342675,0.013719631413426754,0.041551662663426754,0.09770400641342675,0.012743068913426754,0.035692287663426754,0.08403213141342675,0.010789943913426754,0.029832912663426754,0.07036025641342675,0.008836818913426754,0.025926662663426754,0.061571193913426754,0.006883693913426754,0.022996975163426754,0.055711818913426754
1,OO DO patch Wet,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[893, 770, 167, 269]",0.022233300068463958,0.04042898032402849,0.08429706924321252,0.02226646084935926,0.04071425972182958,0.08505371452511183,0.022508693913426754,0.040086818913426754,0.08305556891342675,False,False,False,0.006883693913426754,0.025926662663426754,0.048875881413426754,0.26664931891342675,0.40532119391342675,0.9365711939134268,0.004669992871359961,0.007683869591095925,0.018130909210001236,0.2097321573892757,0.18872674202095588,0.2131701044596723,0.033250881413426754,0.05620010016342675,0.12309463141342675,0.029344631413426754,0.04985244391342676,0.10551650641342675,0.027391506413426754,0.047411037663426754,0.09965713141342675,0.025438381413426754,0.043993068913426754,0.09086806891342675,0.022508693913426754,0.040086818913426754,0.08305556891342675,0.019579006413426754,0.036668850163426754,0.07621963141342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[1022, 497, 244, 191]",0.16193595645690687,0.26994936198831304,0.548813462905421,0.16201556295907144,0.26999068856861697,0.5489100162584513,0.15629775641342675,0.26078994391342675,0.5273915064134268,False,False,False,0.09086806891342675,0.16850478766342675,0.35746963141342675,0.30571181891342675,0.49418838141342675,0.9365711939134268,0.02996547492086981,0.04415554961307049,0.09115403931804826,0.18495429928814755,0.16354471277200566,0.16606372013282572,0.25102431891342675,0.38578994391342675,0.8047352564134268,0.22075088141342675,0.35209853766342675,0.7246571314134268,0.20219619391342675,0.33305556891342675,0.6758290064134268,0.17973525641342675,0.30131728766342675,0.6094227564134268,0.15629775641342675,0.26078994391342675,0.5273915064134268,0.13969619391342675,0.23442275641342675,0.47563369391342675
3,Type 1 Chemistry Thin Back Wet,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[569, 401, 137, 213]",0.11201874601460902,0.2309946978919477,0.526591775288315,0.1120208323232821,0.23116729708743688,0.5270574183617969,0.11235244391342675,0.23295791266342675,0.5332508814134268,False,False,False,0.08012588141342675,0.16020400641342675,0.38090713141342675,0.17289931891342675,0.37602431891342675,0.9365711939134268,0.00923148623802543,0.019823239998239286,0.04646847157187487,0.0824086560201962,0.08575278704211059,0.08816586192128452,0.13383681891342675,0.27299697516342675,0.6221180689134268,0.12700088141342675,0.26030166266342675,0.5918446314134268,0.12407119391342675,0.25444228766342675,0.5791493189134268,0.11821181891342675,0.24467666266342675,0.5586415064134268,0.11235244391342675,0.23295791266342675,0.5332508814134268,0.10551650641342675,0.21830947516342675,0.49711806891342675
4,Type 1 Chemistry Thick Back Wet,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[473, 775, 293, 155]",0.11094647125786578,0.19578800782325323,0.4059698731211524,0.11112236006865935,0.19715056007144358,0.40925223696786456,0.10942275641342675,0.19194228766342675,0.40043838141342675,False,False,False,0.07328994391342675,0.13286025641342675,0.26762588141342675,0.7002430689134268,0.9365711939134268,0.9365711939134268,0.015010100292509095,0.03152132249015422,0.05940637420933033,0.13507722733061808,0.15988451911438395,0.14515833718948018,0.14848525641342675,0.26762588141342675,0.5868251001634273,0.13481338141342675,0.23784072516342675,0.49125869391342675,0.12993056891342675,0.22807510016342675,0.4687977564134268,0.12016494391342675,0.21293838141342675,0.43657119391342675,0.10942275641342675,0.19194228766342675,0.40043838141342675,0.10063369391342675,0.17778213141342675,0.37211806891342675
5,Upper Glass,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[614, 137, 120, 63]",0.014327630790503162,0.04948683430751544,0.11793228098572067,0.014463679032473644,0.050133528569517895,0.11948987570907041,0.013719631413426754,0.048875881413426754,0.11625869391342675,False,False,False,0.004930568913426754,0.037157131413426754,0.08989150641342675,0.09282119391342675,0.32914931891342675,0.8486805689134268,0.003461963610870339,0.01059793863001908,0.02533515189184216,0.23935567175526973,0.2113942292197406,0.2120276026859988,0.023485256413426754,0.07719619391342675,0.18737197516342646,0.018602443913426754,0.058641506413426754,0.13969619391342675,0.017625881413426754,0.055223537663426754,0.13090713141342675,0.015672756413426754,0.051805568913426754,0.12211806891342675,0.013719631413426754,0.048875881413426754,0.11625869391342675,0.012743068913426754,0.046434475163426754,0.11039931891342675
6,Left Glass,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[415, 466, 70, 76]",0.014325799021713001,0.05466476478175097,0.13781591918490924,0.014365043772449964,0.054894865641580505,0.13847677573909298,0.014696193913426754,0.054246975163426754,0.13676650641342675,False,False,False,0.006883693913426754,0.043016506413426754,0.10746963141342675,0.049852443913426754,0.24321181891342675,0.5703602564134268,0.00266234314162246,0.0064709873406176765,0.01610524686346634,0.18533484365209116,0.11787964621077753,0.11630287300890495,0.020555568913426754,0.07173232672592694,0.18327041266342753,0.018602443913426754,0.06254775641342675,0.15732314703842692,0.017625881413426754,0.060594631413426754,0.15141494391342675,0.015672756413426754,0.057176662663426754,0.14360244391342675,0.014696193913426754,0.054246975163426754,0.13676650641342675,0.012743068913426754,0.051805568913426754,0.13090713141342675
7,Lower-Left Glass,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[636, 1087, 110, 55]",0.013343443965337052,0.04575089777673942,0.10517821363592837,0.01340035197127841,0.04614465401157222,0.10613876235351745,0.012743068913426754,0.044969631413426754,0.10356338141342675,False,False,False,0.004930568913426754,0.034715725163426754,0.07914931891342675,0.030321193913426754,0.09428603766342675,0.20805556891342675,0.002664988501586747,0.005677146893855504,0.012959681271525315,0.19887451518428317,0.12302935227191823,0.12210130384185537,0.020555568913426754,0.07060927985092685,0.16313369391342675,0.017625881413426754,0.055711818913426754,0.12797744391342675,0.016649318913426754,0.051317287663426754,0.11723525641342675,0.014696193913426754,0.047899318913426754,0.10942275641342675,0.012743068913426754,0.044969631413426754,0.10356338141342675,0.011766506413426754,0.043016506413426754,0.09868056891342675
8,Lower-Right Glass,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[902, 1110, 67, 61]",0.013919964185764572,0.04792079896841571,0.10764428355057307,0.013927512346875531,0.04803826461779703,0.10793652721108483,0.013719631413426754,0.047899318913426754,0.10746963141342675,False,False,False,0.006883693913426754,0.036668850163426754,0.08207900641342675,0.032274318913426754,0.08647353766342675,0.20707900641342675,0.002480521139901467,0.00408179730569624,0.009033795331386747,0.17810223951859874,0.0849697077563462,0.08369544180090127,0.01971572516342663,0.059198147038426685,0.13592666266342662,0.017625881413426754,0.054246975163426754,0.12280166266342657,0.016649318913426754,0.05278213141342675,0.11821181891342675,0.015672756413426754,0.050340725163426754,0.11235244391342675,0.013719631413426754,0.047899318913426754,0.10746963141342675,0.012743068913426754,0.045457912663426754,0.10258681891342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-31--16-20-59_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-31 16:21:04,"[870, 470, 15, 55]",0.1479774439134267,0.10199496285282064,0.141143260433451,0.14797744391342577,0.10199496285282093,0.1412113454285774,0.14750869391342675,0.10112197516342675,0.13871963141342675,False,False,False,0.11723525641342675,0.08696181891342675,0.11528213141342675,0.18168838141342675,0.12407119391342675,0.19731338141342675,0.010036254821241061,0.006808909780980815,0.013181393203607982,0.06782286918750113,0.06675731419017324,0.09334514279714823,0.17094619391342675,0.12065322516342675,0.18047744391342674,0.16411025641342675,0.11430556891342675,0.16606338141342675,0.16118056891342675,0.11166885016342676,0.15825088141342675,0.15434463141342675,0.10600478766342675,0.14848525641342675,0.14750869391342675,0.10112197516342675,0.13871963141342675,0.14067275641342675,0.09672744391342675,0.13188369391342675
