,ROI,image,exposure_seconds,iso,timestamp,ROI definition,r_msorm,g_msorm,b_msorm,r_mean,g_mean,b_mean,r_median,g_median,b_median,r_outlier_warning,g_outlier_warning,b_outlier_warning,r_min,g_min,b_min,r_max,g_max,b_max,r_stdev,g_stdev,b_stdev,r_cv,g_cv,b_cv,r_percentile_99,g_percentile_99,b_percentile_99,r_percentile_95,g_percentile_95,b_percentile_95,r_percentile_90,g_percentile_90,b_percentile_90,r_percentile_75,g_percentile_75,b_percentile_75,r_percentile_50,g_percentile_50,b_percentile_50,r_percentile_25,g_percentile_25,b_percentile_25
0,Reflectance Standard Dry,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[912, 121, 330, 222]",0.013487194192330026,0.04026015641513979,0.09872422330842348,0.014060188589929861,0.04180361472203039,0.1018199254220031,0.012743068913426754,0.037645412663426754,0.09282119391342675,False,False,False,-0.002881931086573246,0.009813381413426754,0.014696193913426754,0.9365711939134268,0.9365711939134268,0.9365711939134268,0.015347683669018584,0.03180183109192416,0.04967819182968141,1.0915702567468297,0.7607435697460077,0.48790245743929844,0.030321193913426754,0.09526260016342675,0.23287002203843016,0.020555568913426754,0.060594631413426754,0.14848525641342675,0.018602443913426754,0.05229385016342675,0.12700088141342675,0.015672756413426754,0.043504787663426754,0.10649306891342675,0.012743068913426754,0.037645412663426754,0.09282119391342675,0.010789943913426754,0.033739162663426754,0.08403213141342675
1,OO DO patch Wet,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[893, 770, 167, 269]",0.040933745950350355,0.07461971307245377,0.16177055725537398,0.04097857918930755,0.07490944683371496,0.1626153808069039,0.041063381413426754,0.07377822516342675,0.16020400641342675,False,False,False,0.016649318913426754,0.047899318913426754,0.10356338141342675,0.30082900641342675,0.6948719751634268,0.9365711939134268,0.007723877608403726,0.01354212828118278,0.029909261479887154,0.1884857347718659,0.18077997974332646,0.1839263994062322,0.05961806891342675,0.10161025641342675,0.23149306891342675,0.05375869391342676,0.09233291266342675,0.20414931891342675,0.050829006413426754,0.08891494391342675,0.19243056891342675,0.045946193913426754,0.08305556891342675,0.17680556891342675,0.041063381413426754,0.07377822516342675,0.16020400641342675,0.036180568913426754,0.06547744391342675,0.14360244391342675
2,Type 1 Chemistry Hand Applied Dry,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[1022, 497, 244, 191]",0.2698003672892695,0.4405162268326955,0.8746082498510674,0.26990658777053567,0.44056855398455447,0.8745915145599762,0.26078994391342675,0.42729385016342675,0.8994618189134268,False,False,False,0.15825088141342675,0.27153213141342675,0.6006336939134268,0.47856338141342675,0.7866688501634268,0.9365711939134268,0.04808190400750366,0.0688021573430814,0.06773089643072469,0.17814275822115563,0.15616674572169642,0.07744289225673703,0.41118056891342675,0.6099110376634268,0.9365711939134268,0.36430556891342675,0.5679188501634268,0.9365711939134268,0.33403213141342675,0.5405751001634268,0.9365711939134268,0.29887588141342675,0.49125869391342675,0.9365711939134268,0.26078994391342675,0.42729385016342675,0.8994618189134268,0.23344619391342675,0.38481338141342675,0.8164540064134268
3,Type 1 Chemistry Thin Back Wet,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[569, 401, 137, 213]",0.1774684801540025,0.36790800170186516,0.8817068277055345,0.1774722725262766,0.3680452936059518,0.881706827705643,0.17875869391342675,0.37553603766342675,0.9180165064134268,False,False,False,0.12895400641342675,0.25981338141342675,0.6426258814134268,0.28813369391342675,0.5894032251634268,0.9365711939134268,0.014152609352468648,0.033544363626703454,0.07176170026470256,0.07974546756521196,0.09114194423748773,0.08138952541792059,0.20610244391342675,0.42778213141342675,0.9365711939134268,0.19828994391342675,0.41166885016342675,0.9365711939134268,0.19438369391342675,0.40385635016342675,0.9365711939134268,0.18754775641342675,0.39164931891342675,0.9365711939134268,0.17875869391342675,0.37553603766342675,0.9180165064134268,0.16801650641342675,0.34819228766342675,0.8437977564134268
4,Type 1 Chemistry Thick Back Wet,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[473, 775, 293, 155]",0.17560879523124764,0.3100611166338565,0.6761761521802437,0.1758249208277954,0.31326132546078433,0.6761761521803569,0.17387588141342675,0.30620010016342675,0.6660633814134268,False,False,False,0.09086806891342675,0.15239150641342675,0.33207900641342675,0.49516494391342675,0.9365711939134268,0.9365711939134268,0.025943470248209158,0.05847846985042688,0.10033173985926193,0.1475528618245103,0.18667631494059905,0.1483810683587971,0.25004775641342675,0.5278797876634268,0.9365711939134267,0.22465713141342675,0.40141494391342675,0.8809071314134268,0.20903213141342675,0.37162978766342675,0.8096180689134268,0.18950088141342675,0.33696181891342675,0.7305165064134268,0.17387588141342675,0.30620010016342675,0.6660633814134268,0.15825088141342675,0.27787978766342675,0.6094227564134268
5,Upper Glass,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[614, 137, 120, 63]",0.01942852695115384,0.06650158955486313,0.16488062236792358,0.019467270095636112,0.06684534187557052,0.16581898243854737,0.019579006413426754,0.06596572516342675,0.16313369391342675,False,False,False,0.008836818913426754,0.050829006413426754,0.12602431891342675,0.046922756413426754,0.20414931891342675,0.44438369391342675,0.003090857196297767,0.006457529931153915,0.015885904636560085,0.15877198914451957,0.09660403776787177,0.09580269039732778,0.028368068913426754,0.09086806891342675,0.22758681891342675,0.024461818913426754,0.07670791266342675,0.18950088141342675,0.023485256413426754,0.07280166266342675,0.18071181891342675,0.021532131413426754,0.06938369391342675,0.17094619391342675,0.019579006413426754,0.06596572516342675,0.16313369391342675,0.017625881413426754,0.06303603766342675,0.15629775641342675
6,Left Glass,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[415, 466, 70, 76]",0.02074768559106452,0.0774965325979359,0.20482555702612543,0.020757489731095206,0.07767823397452375,0.20541719808401132,0.020555568913426754,0.07719619391342675,0.20317275641342675,False,False,False,0.010789943913426754,0.061571193913426754,0.16996963141342675,0.048875881413426754,0.12846572516342675,0.37895400641342675,0.0029227821258566563,0.005765957570056508,0.015573134910656837,0.14080614581628625,0.07422874175985486,0.07581222534389624,0.028368068913426754,0.09526260016342675,0.25962783453842714,0.025438381413426754,0.08745010016342675,0.23149306891342675,0.024461818913426754,0.08452041266342675,0.22270400641342675,0.022508693913426754,0.08061416266342675,0.21196181891342675,0.020555568913426754,0.07719619391342675,0.20317275641342675,0.018602443913426754,0.07377822516342675,0.19536025641342675
7,Lower-Left Glass,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[636, 1087, 110, 55]",0.023883037259331923,0.08213014809048409,0.19559346051417612,0.023932699595245077,0.08237415426983911,0.19636425951259365,0.023485256413426754,0.08159072516342675,0.19438369391342675,False,False,False,0.013719631413426754,0.06596572516342675,0.15825088141342675,0.048875881413426754,0.15580947516342675,0.39067275641342675,0.0033024117147986524,0.006378123153382737,0.015803799782440245,0.13798743019591372,0.07742869362263129,0.08048205830158559,0.032274318913426754,0.10185927985092685,0.25004775641342675,0.029344631413426754,0.09184463141342675,0.21977431891342675,0.028368068913426754,0.08891494391342675,0.21196181891342675,0.026414943913426754,0.08549697516342675,0.20219619391342675,0.023485256413426754,0.08159072516342675,0.19438369391342675,0.021532131413426754,0.07866103766342675,0.18754775641342675
8,Lower-Right Glass,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[902, 1110, 67, 61]",0.026060353015487595,0.08976141030101598,0.20835919588435559,0.026112680257321465,0.09011898072221694,0.20926247304543924,0.026414943913426754,0.08940322516342675,0.20707900641342675,False,False,False,0.015672756413426754,0.07084853766342675,0.17289931891342675,0.051805568913426754,0.18412978766342675,0.42094619391342675,0.00360404848327057,0.007935752263760578,0.018136885467299097,0.138019094468867,0.0880586109625648,0.08667051097766992,0.035204006413426754,0.11451064703842656,0.2667860376634266,0.032274318913426754,0.10097549078842666,0.23539931891342675,0.030321193913426754,0.09819228766342675,0.22563369391342675,0.028368068913426754,0.09379775641342675,0.21489150641342675,0.026414943913426754,0.08940322516342675,0.20707900641342675,0.023485256413426754,0.08549697516342675,0.19926650641342675
9,Type 1 Chemistry Dry Unsaturated,2019-05-17--09-26-36_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,0.799989,100,2019-05-17 09:26:42,"[870, 470, 15, 55]",0.2508278227013056,0.1661373634210025,0.22847449526354813,0.25082782270130866,0.1661373634210021,0.22855509542858074,0.25004775641342675,0.16508681891342675,0.22563369391342675,False,False,False,0.21293838141342675,0.14604385016342675,0.19243056891342675,0.30082900641342675,0.19877822516342675,0.29496963141342675,0.014503369376878673,0.008762422481045412,0.01681939656220947,0.05782201201080315,0.0527420340651543,0.07359011852555797,0.28496963141342674,0.19073135016342674,0.27836806891342675,0.27446181891342675,0.18315322516342675,0.26078994391342675,0.26957900641342675,0.17827041266342675,0.25102431891342675,0.26078994391342675,0.17094619391342675,0.23735244391342675,0.25004775641342675,0.16508681891342675,0.22563369391342675,0.24028213141342675,0.16020400641342675,0.21684463141342675
