DO Patch r_msorm,Reference Patch r_msorm,Reflectance Standard r_msorm,DO Patch g_msorm,Reference Patch g_msorm,Reflectance Standard g_msorm,DO Patch b_msorm,Reference Patch b_msorm,Reflectance Standard b_msorm,image,YSI Dissolved Oxygen (%),YSI Dissolved Oxygen (mg/L),YSI Barometer (mmHg),YSI Temperature (C),setpoint O2 fraction,temperature_set_point,water bath external sensor temperature (C),water bath internal temperature (C),PicoLog Temperature Ave. (C),PicoLog Pressure Ave. (mmHg),YSI Dissolved Oxygen (mmHg),ppO2 Setpoint (mmHg),test,training,training_resampled
0.11159679585043132,0.36736441432003597,0.09968834274741713,0.2918839076898623,0.41281797384390095,0.43105424565864164,0.741207238201335,0.8323369812571499,0.9343867246655853,2019-07-26--19-52-02_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.30000000000001,6.790000000000001,762.58,34.8,0.2131,35.0,23.02,35.0,34.68896748,763.46058556,155.52117526400002,162.693450782836,False,True,False
0.12367443492288847,0.4077687026341081,0.11039232799295785,0.32241972994557483,0.45656330252211846,0.47713376427314474,0.8089019480772629,0.899876277284102,0.9364845032420603,2019-07-26--19-52-11_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.3,6.79,762.6,34.8,0.2131,35.0,23.018,35.0,34.690945680000006,763.414892,155.52525408,162.6837134852,False,True,False
0.11155605903242798,0.3672898674579643,0.09967076859263344,0.2918381853270047,0.41278965400547474,0.4309190803784339,0.7409753029250832,0.8321078415922114,0.9344016294078229,2019-07-26--19-52-20_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.4,6.79,762.6,34.8,0.2131,35.0,23.02,35.0,34.69118548,763.53806332,155.68509504000002,162.709961293492,False,True,False
0.1318175715798537,0.435669648713107,0.11737395584801724,0.34278491385030657,0.4867072133514161,0.5088605213793563,0.8501712847339122,0.9290641548768066,0.9365672931594143,2019-07-26--19-52-29_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.30000000000001,6.790000000000001,762.6,34.8,0.2131,35.0,23.012,35.007999999999996,34.691840920000004,763.6531818000001,155.52525408000002,162.73449304158,False,True,True
0.1114557239993848,0.36700103187886646,0.09960082188052125,0.2916181549640152,0.4125255031215764,0.43060407500202397,0.740568185561757,0.8318016831091796,0.9343695595656071,2019-07-26--19-52-38_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.3,6.79,762.6,34.8,0.2131,35.0,23.02,35.0,34.6963992,763.6235086,155.52525408,162.72816968266002,False,True,False
0.12827904029193724,0.4229746845475224,0.11451760094449878,0.3341106481138366,0.47302636829116745,0.4971104971310717,0.8330496945785821,0.9185026874085732,0.9365553937816857,2019-07-26--19-52-47_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.32000000000001,6.790000000000001,762.52,34.8,0.2131,35.0,23.012,35.0,34.70095200000001,763.4662160800001,155.540907008,162.694650646648,False,True,False
0.11135671821388508,0.3667706738082822,0.09956588992243308,0.2915771931009977,0.4122190583213851,0.43034913353048176,0.740126033703875,0.831312526803176,0.9343187221614774,2019-07-26--19-52-56_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.3,6.786,762.5,34.8,0.2131,35.0,23.016,35.0,34.70238332,763.3109258,155.50486,162.66155828798,False,True,True
0.12727223059173667,0.4207128888898872,0.11344845601066009,0.33151401263560515,0.4704814490408037,0.49265305737644577,0.8278866541936165,0.9161202864763097,0.9365467988365589,2019-07-26--19-53-05_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.4,6.79,762.6,34.8,0.2131,35.0,23.034,35.0,34.702535,763.43872788,155.68509504000002,162.688792911228,False,True,True
0.11136089113516344,0.3667154949447351,0.09959234633511539,0.2915355822190028,0.41228162002515994,0.4303746649431074,0.7402252820812896,0.8313218190645474,0.9343642624702766,2019-07-26--19-53-14_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.30000000000001,6.790000000000001,762.6,34.8,0.2131,35.0,23.032000000000004,35.0,34.70371136,763.6071581600002,155.52525408000002,162.72468540389602,False,True,True
0.1327298874559133,0.4388486832434996,0.11847883116402325,0.34543804992594973,0.4902499573220551,0.5135445862057051,0.8552012824910893,0.9308652920764805,0.9365695996111697,2019-07-26--19-53-23_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.4,6.79,762.6,34.8,0.2131,35.0,23.04,35.0,34.704920400000006,763.5724288000001,155.68509504000002,162.71728457728003,False,True,False
0.11134132776041022,0.36683214835472067,0.0995300559767095,0.29149395705375,0.41233839684783935,0.43037174435021425,0.7401481658132238,0.8314746066207288,0.9343150915675296,2019-07-26--19-53-32_capture_params_ss_800000_ISO_100_led_on_True_led_warm_up_0_led_cool_down_0_.jpeg,97.32000000000001,6.790000000000001,762.52,34.8,0.2131,35.0,23.05,35.0,34.706633000000004,763.6642850000001,155.540907008,162.73685913350005,False,True,False
